student_key,course_week,group_code,current_quiz_score_pct,previous_task_score_pct,concept_map_score_pct,monday_activity_count,task_attempts,attendance_recorded,task_submitted,submission_delay_minutes,submission_timing,project_activity_count,prior_average_quiz_pct,cumulative_attendance_rate,next_week_quiz_grade_0_5,next_week_quiz_score_pct
SYN036,5,G01,59.1,62.9,62.0,19,3,1,0,,not_submitted,0.0,62.0,0.8,2,58.6
SYN036,6,G01,58.6,51.5,65.1,16,2,1,1,133.1,late,3.0,61.4,0.833,3,79.0
SYN036,7,G01,79.0,58.3,71.2,19,1,1,1,130.1,late,2.0,63.9,0.857,3,71.4
SYN037,1,G09,32.9,46.9,28.2,1,1,0,0,,not_submitted,0.0,32.9,0.0,2,58.5
SYN037,2,G09,58.5,65.3,38.4,18,4,1,1,45.2,late,3.0,45.7,0.5,2,57.1
SYN037,3,G09,57.1,58.4,44.9,4,2,1,1,54.1,late,0.0,49.5,0.667,2,59.8
SYN037,4,G09,59.8,50.8,56.4,14,3,1,1,39.9,late,2.0,52.1,0.75,2,47.0
SYN037,5,G09,47.0,,39.6,1,2,0,1,50.5,late,0.0,51.1,0.6,2,50.2
SYN037,6,G09,50.2,53.8,55.0,8,1,1,1,51.9,late,1.0,50.9,0.667,2,56.0
SYN037,7,G09,56.0,58.2,52.6,1,3,0,1,123.7,late,0.0,51.6,0.571,1,39.1
SYN038,1,G04,64.0,52.0,58.0,19,3,1,1,16.7,near_deadline,3.0,64.0,1.0,3,75.5
SYN038,2,G04,75.5,66.8,70.5,15,2,0,1,-27.1,near_deadline,4.0,69.7,0.5,4,86.8
SYN038,3,G04,86.8,66.2,66.2,25,2,1,1,31.0,late,5.0,75.4,0.667,4,82.6
SYN038,4,G04,82.6,61.0,,18,2,1,1,-43.7,early,5.0,77.2,0.75,3,70.4
SYN038,5,G04,70.4,54.7,59.6,9,1,1,1,11.9,near_deadline,4.0,75.9,0.8,3,74.9
SYN038,6,G04,74.9,58.6,65.4,20,0,1,1,105.6,late,2.0,75.7,0.833,3,66.0
SYN038,7,G04,66.0,71.9,78.1,21,1,1,1,-79.3,early,4.0,74.3,0.857,3,72.3
SYN039,1,G07,64.1,63.2,59.9,22,2,1,1,46.9,late,3.0,64.1,1.0,3,72.7
SYN039,2,G07,72.7,79.9,68.5,15,1,0,0,,not_submitted,3.0,68.4,0.5,3,65.0
SYN039,3,G07,65.0,77.2,70.7,21,3,1,1,47.6,late,2.0,67.2,0.667,2,56.8
SYN039,4,G07,56.8,55.4,64.0,10,3,1,1,-16.9,near_deadline,5.0,64.6,0.75,3,71.4
SYN039,5,G07,,49.5,66.4,18,0,0,0,,not_submitted,2.0,66.0,0.6,3,76.1
SYN039,6,G07,76.1,72.4,69.0,16,3,1,1,-18.6,near_deadline,2.0,67.7,0.667,3,67.8
SYN039,7,G07,67.8,70.4,65.1,24,2,0,1,-7.4,near_deadline,1.0,67.7,0.571,3,67.2
SYN040,1,G08,,74.5,81.3,13,1,1,1,-4.2,near_deadline,5.0,76.4,1.0,3,68.5
SYN040,2,G08,68.5,59.2,71.0,16,1,1,1,88.8,late,3.0,72.4,1.0,4,86.9
SYN040,3,G08,86.9,71.7,78.1,14,1,1,0,,not_submitted,4.0,77.2,1.0,3,77.4
SYN040,4,G08,77.4,59.3,69.9,20,1,1,1,60.7,late,5.0,77.3,1.0,4,80.1
SYN040,5,G08,80.1,63.9,75.1,16,2,0,1,-26.1,near_deadline,5.0,77.9,0.8,4,84.6
SYN040,6,G08,84.6,70.2,91.5,15,0,1,0,,not_submitted,4.0,79.0,0.833,4,92.0
SYN040,7,G08,92.0,84.7,85.7,26,0,1,1,2.3,near_deadline,3.0,80.8,0.857,3,72.0
